Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3529,Petz Wild Animals: Tigerz,DS,2008.0,Simulation,Ubisoft,0.52,0.01,0.0,0.04,0.57
12218,One Piece: Unlimited World Red,WiiU,2014.0,Action,Namco Bandai Games,0.0,0.04,0.02,0.0,0.07
7942,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19
3032,RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67
7146,EX Monopoly,GBA,2001.0,Misc,Takara,0.16,0.06,0.0,0.0,0.22
10046,Monster Madness: Battle for Suburbia,X360,2007.0,Shooter,SouthPeak Games,0.1,0.0,0.0,0.01,0.11
8446,Dragon Ball: Fusions,3DS,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17
9541,Monster Hunter Frontier Online,X360,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13
15686,Machi: Unmei no Kousaten,PSP,2006.0,Adventure,ChunSoft,0.0,0.0,0.02,0.0,0.02
7442,Tales of Phantasia: Narikiri Dungeon X,PSP,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
10048,FIFA Soccer 06,PSP,2005.0,Sports,Electronic Arts,0.1,0.01,0.0,0.01,0.11
8627,FIFA Soccer 96,PS,1995.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16
390,Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42
12225,Interactive Storybook DS Series 1,DS,2007.0,Misc,Tommo,0.06,0.0,0.0,0.0,0.07
103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
2744,San Francisco Rush: Extreme Racing,N64,1997.0,Racing,GT Interactive,0.63,0.11,0.0,0.01,0.75
5690,DJ Hero,PS2,2009.0,Misc,Activision,0.1,0.02,0.0,0.2,0.32
9896,Self-Defense Training Camp,X360,2011.0,Sports,Ubisoft,0.08,0.03,0.0,0.01,0.12
11830,Wrath Unleashed,PS2,2004.0,Strategy,LucasArts,0.04,0.03,0.0,0.01,0.07
5455,Digimon World: Dawn / Dusk,DS,2007.0,Role-Playing,Namco Bandai Games,0.14,0.0,0.18,0.01,0.33
9425,Star Wars: Lethal Alliance,PSP,2006.0,Action,Ubisoft,0.11,0.01,0.0,0.01,0.13
10913,Alien Hominid,GC,2004.0,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09
9363,Hyperdimension Idol Neptunia PP,PSV,2013.0,Misc,Namco Bandai Games,0.04,0.03,0.04,0.02,0.13
10734,Pinball Hall of Fame: The Williams Collection,3DS,2011.0,Misc,Crave Entertainment,0.09,0.0,0.0,0.01,0.1
2008,Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
9770,Mobile Suit Gundam Side Story: Missing Link,PS3,2014.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
7800,Supreme Commander 2,PC,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19
11552,BioShock The Collection,XOne,2016.0,Shooter,Take-Two Interactive,0.03,0.04,0.0,0.01,0.08
292,Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
14675,Vitamin Z,PS2,2009.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03
3734,Terminator Salvation,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.13,0.29,0.01,0.11,0.54
13796,Fritz Chess,PS3,2009.0,Strategy,Deep Silver,0.0,0.03,0.0,0.01,0.04
11679,Quo Vadis,SAT,1995.0,Strategy,Glams,0.0,0.0,0.08,0.0,0.08
1261,WWF No Mercy,N64,2000.0,Fighting,THQ,1.2,0.27,0.02,0.02,1.5
8062,X-Men Origins: Wolverine,PS2,2009.0,Action,Activision,0.13,0.0,0.0,0.05,0.18
16258,No Fate! Only the Power of Will,X360,2010.0,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01
